Country,Year,Value
Belgium,2012,2.6
Bulgaria,2012,2.4
Czechia,2012,3.5
Denmark,2012,2.4
Germany,2012,2.2
Estonia,2012,4.2
Ireland,2012,1.9
Greece,2012,1.0
Spain,2012,2.4
France,2012,2.2
Croatia,2012,3.4
Italy,2012,3.3
Cyprus,2012,3.1
Latvia,2012,2.3
Lithuania,2012,3.2
Luxembourg,2012,2.9
Hungary,2012,5.7
Malta,2012,3.2
Netherlands,2012,2.8
Austria,2012,2.6
Poland,2012,3.7
Portugal,2012,2.8
Romania,2012,3.4
Slovenia,2012,2.8
Slovakia,2012,3.7
Finland,2012,3.2
Sweden,2012,0.9
Iceland,2012,6.0
Norway,2012,0.4
Switzerland,2012,-0.7
United Kingdom,2012,2.8
North Macedonia,2012,1.8
Serbia,2012,7.4
Türkiye,2012,9.0
United States,2012,2.1
Belgium,2013,1.2
Bulgaria,2013,0.4
Czechia,2013,1.4
Denmark,2013,0.5
Germany,2013,1.6
Estonia,2013,3.2
Ireland,2013,0.5
Greece,2013,-0.9
Spain,2013,1.5
France,2013,1.0
Croatia,2013,2.3
Italy,2013,1.2
Cyprus,2013,0.4
Latvia,2013,0.0
Lithuania,2013,1.2
Luxembourg,2013,1.7
Hungary,2013,1.7
Malta,2013,1.0
Netherlands,2013,2.6
Austria,2013,2.1
Poland,2013,0.8
Portugal,2013,0.4
Romania,2013,3.2
Slovenia,2013,1.9
Slovakia,2013,1.5
Finland,2013,2.2
Sweden,2013,0.4
Iceland,2013,4.1
Norway,2013,2.0
Switzerland,2013,0.1
United Kingdom,2013,2.6
North Macedonia,2013,2.7
Serbia,2013,7.7
Türkiye,2013,7.5
United States,2013,1.2
Belgium,2014,0.5
Bulgaria,2014,-1.6
Czechia,2014,0.4
Denmark,2014,0.4
Germany,2014,0.8
Estonia,2014,0.5
Ireland,2014,0.3
Greece,2014,-1.4
Spain,2014,-0.2
France,2014,0.6
Croatia,2014,0.2
Italy,2014,0.2
Cyprus,2014,-0.3
Latvia,2014,0.7
Lithuania,2014,0.2
Luxembourg,2014,0.7
Hungary,2014,0.0
Malta,2014,0.8
Netherlands,2014,0.3
Austria,2014,1.5
Poland,2014,0.1
Portugal,2014,-0.2
Romania,2014,1.4
Slovenia,2014,0.4
Slovakia,2014,-0.1
Finland,2014,1.2
Sweden,2014,0.2
Iceland,2014,1.0
Norway,2014,1.9
Switzerland,2014,0.0
United Kingdom,2014,1.5
North Macedonia,2014,0.0
Serbia,2014,2.3
Türkiye,2014,8.9
United States,2014,1.3
Belgium,2015,0.6
Bulgaria,2015,-1.1
Czechia,2015,0.3
Denmark,2015,0.2
Germany,2015,0.7
Estonia,2015,0.1
Ireland,2015,0.0
Greece,2015,-1.1
Spain,2015,-0.6
France,2015,0.1
Croatia,2015,-0.3
Italy,2015,0.1
Cyprus,2015,-1.5
Latvia,2015,0.2
