Country,Year,Value
European Union - 27 countries (from 2020),2014,93.38
Euro area – 20 countries (from 2023),2014,94.0
Belgium,2014,104.67
Bulgaria,2014,78.7
Czechia,2014,93.98
Denmark,2014,93.82
Germany,2014,91.56
Estonia,2014,95.5
Ireland,2014,79.98
Greece,2014,95.25
Spain,2014,87.24
France,2014,103.36
Croatia,2014,96.5
Italy,2014,102.6
Cyprus,2014,106.31
Latvia,2014,90.46
Lithuania,2014,86.59
Luxembourg,2014,98.26
Hungary,2014,82.07
Malta,2014,103.66
Netherlands,2014,82.39
Austria,2014,98.82
Poland,2014,89.63
Portugal,2014,87.96
Romania,2014,97.93
Slovenia,2014,91.56
Slovakia,2014,90.66
Finland,2014,102.55
Sweden,2014,103.91
European Union - 27 countries (from 2020),2015,93.52
Euro area – 20 countries (from 2023),2015,93.56
Belgium,2015,105.83
Bulgaria,2015,74.87
Czechia,2015,94.85
Denmark,2015,97.19
Germany,2015,93.61
Estonia,2015,95.2
Ireland,2015,85.66
Greece,2015,91.1
Spain,2015,86.6
France,2015,101.14
Croatia,2015,91.19
Italy,2015,97.45
Cyprus,2015,103.79
Latvia,2015,82.09
Lithuania,2015,85.35
Luxembourg,2015,103.62
Hungary,2015,88.31
Malta,2015,102.81
Netherlands,2015,84.15
Austria,2015,102.89
Poland,2015,88.27
Portugal,2015,87.24
Romania,2015,93.58
Slovenia,2015,90.56
Slovakia,2015,90.81
Finland,2015,100.68
Sweden,2015,113.86
European Union - 27 countries (from 2020),2016,95.14
Euro area – 20 countries (from 2023),2016,95.19
Belgium,2016,105.71
Bulgaria,2016,73.44
Czechia,2016,97.81
Denmark,2016,98.4
Germany,2016,97.97
Estonia,2016,95.15
Ireland,2016,88.79
Greece,2016,89.3
Spain,2016,88.39
France,2016,100.87
Croatia,2016,89.31
Italy,2016,96.33
Cyprus,2016,100.0
Latvia,2016,83.88
Lithuania,2016,82.87
Luxembourg,2016,109.97
Hungary,2016,94.61
Malta,2016,103.02
Netherlands,2016,86.42
Austria,2016,106.89
Poland,2016,86.01
Portugal,2016,90.29
Romania,2016,89.67
Slovenia,2016,89.65
Slovakia,2016,94.35
Finland,2016,100.76
Sweden,2016,118.6
European Union - 27 countries (from 2020),2017,96.64
Euro area – 20 countries (from 2023),2017,96.75
Belgium,2017,106.05
Bulgaria,2017,71.05
Czechia,2017,101.42
Denmark,2017,101.08
Germany,2017,100.85
Estonia,2017,93.4
Ireland,2017,93.73
Greece,2017,86.76
Spain,2017,91.26
France,2017,101.8
Croatia,2017,88.67
Italy,2017,93.14
Cyprus,2017,97.42
Latvia,2017,84.74
Lithuania,2017,87.73
Luxembourg,2017,111.11
Hungary,2017,96.73
Malta,2017,102.44
Netherlands,2017,91.34
Austria,2017,110.01
Poland,2017,84.89
Portugal,2017,95.84
Romania,2017,82.37
Slovenia,2017,92.7
Slovakia,2017,95.56
Finland,2017,100.16
Sweden,2017,123.45
European Union - 27 countries (from 2020),2018,98.45
Euro area – 20 countries (from 2023),2018,98.5
Belgium,2018,106.08
Bulgaria,2018,67.54
Czechia,2018,102.38
Denmark,2018,102.77
Germany,2018,103.78
Estonia,2018,88.06
Ireland,2018,99.9
Greece,2018,88.99
Spain,2018,94.89
France,2018,102.71
Croatia,2018,88.46
Italy,2018,91.05
Cyprus,2018,94.15
Latvia,2018,85.55
Lithuania,2018,86.61
Luxembourg,2018,115.42
Hungary,2018,99.53
Malta,2018,102.07
Netherlands,2018,95.26
Austria,2018,113.0
Poland,2018,85.32
Portugal,2018,100.9
Romania,2018,79.79
Slovenia,2018,95.22
Slovakia,2018,94.27
Finland,2018,97.84
Sweden,2018,118.76
European Union - 27 countries (from 2020),2019,99.78
Euro area – 20 countries (from 2023),2019,99.8
Belgium,2019,106.24
Bulgaria,2019,65.03
Czechia,2019,104.51
Denmark,2019,103.02
Germany,2019,106.7
Estonia,2019,88.57
Ireland,2019,96.6
Greece,2019,88.9
Spain,2019,95.78
France,2019,103.41
Croatia,2019,90.16
Italy,2019,90.11
Cyprus,2019,89.24
Latvia,2019,87.34
Lithuania,2019,83.88
Luxembourg,2019,122.26
Hungary,2019,105.09
Malta,2019,102.28
Netherlands,2019,97.43
Austria,2019,117.37
Poland,2019,86.44
Portugal,2019,106.12
Romania,2019,68.2
Slovenia,2019,96.14
Slovakia,2019,97.66
Finland,2019,94.86
Sweden,2019,118.23
European Union - 27 countries (from 2020),2020,104.04
Euro area – 20 countries (from 2023),2020,104.18
Belgium,2020,109.31
Bulgaria,2020,64.6
Czechia,2020,106.57
Denmark,2020,106.55
Germany,2020,113.27
Estonia,2020,91.91
Ireland,2020,92.67
Greece,2020,95.9
Spain,2020,99.36
France,2020,107.59
Croatia,2020,93.91
Italy,2020,92.81
Cyprus,2020,87.46
Latvia,2020,88.1
Lithuania,2020,82.02
Luxembourg,2020,131.9
Hungary,2020,105.88
Malta,2020,103.71
Netherlands,2020,102.12
Austria,2020,125.43
Poland,2020,86.8
Portugal,2020,116.03
Romania,2020,69.79
Slovenia,2020,95.99
Slovakia,2020,102.71
Finland,2020,95.29
Sweden,2020,122.88
European Union - 27 countries (from 2020),2021,106.75
Euro area – 20 countries (from 2023),2021,106.86
Belgium,2021,110.45
Bulgaria,2021,62.06
Czechia,2021,116.26
Denmark,2021,114.53
Germany,2021,121.28
Estonia,2021,97.21
Ireland,2021,95.79
Greece,2021,93.62
Spain,2021,97.92
France,2021,108.74
Croatia,2021,92.71
Italy,2021,90.12
Cyprus,2021,77.85
Latvia,2021,88.73
Lithuania,2021,85.74
Luxembourg,2021,148.12
Hungary,2021,108.39
Malta,2021,100.34
Netherlands,2021,109.97
Austria,2021,132.47
Poland,2021,90.25
Portugal,2021,119.76
Romania,2021,66.97
Slovenia,2021,99.08
Slovakia,2021,102.18
Finland,2021,96.16
Sweden,2021,128.1
European Union - 27 countries (from 2020),2022,107.87
Euro area – 20 countries (from 2023),2022,107.56
Belgium,2022,107.77
Bulgaria,2022,61.2
Czechia,2022,124.53
Denmark,2022,113.39
Germany,2022,118.78
Estonia,2022,105.15
Ireland,2022,100.69
Greece,2022,98.31
Spain,2022,100.87
France,2022,110.59
Croatia,2022,94.97
Italy,2022,87.92
Cyprus,2022,71.85
Latvia,2022,92.54
Lithuania,2022,90.45
Luxembourg,2022,154.03
Hungary,2022,111.39
Malta,2022,103.53
Netherlands,2022,116.69
Austria,2022,137.63
Poland,2022,89.99
Portugal,2022,124.91
Romania,2022,62.76
Slovenia,2022,104.5
Slovakia,2022,105.48
Finland,2022,93.54
Sweden,2022,126.08
European Union - 27 countries (from 2020),2023,100.86
Euro area – 20 countries (from 2023),2023,99.98
Belgium,2023,102.89
Bulgaria,2023,58.25
Czechia,2023,115.06
Denmark,2023,105.1
Germany,2023,103.34
Estonia,2023,105.33
Ireland,2023,95.23
Greece,2023,103.26
Spain,2023,96.56
France,2023,103.17
Croatia,2023,93.3
Italy,2023,85.1
Cyprus,2023,71.09
Latvia,2023,87.43
Lithuania,2023,90.39
Luxembourg,2023,132.54
Hungary,2023,102.55
Malta,2023,100.1
Netherlands,2023,106.82
Austria,2023,125.6
Poland,2023,87.88
Portugal,2023,127.81
Romania,2023,58.66
Slovenia,2023,103.76
Slovakia,2023,97.18
Finland,2023,83.54
Sweden,2023,112.93
