Country,Year,Value
France,2003,8.5
France,2004,8.9
France,2005,8.9
Sweden,2005,7.9
France,2006,8.9
Sweden,2006,7.2
France,2007,8.0
Sweden,2007,6.3
France,2008,7.4
Sweden,2008,6.3
Belgium,2009,8.0
Bulgaria,2009,7.9
Czechia,2009,6.7
Denmark,2009,6.4
Germany,2009,7.3
Estonia,2009,13.5
Ireland,2009,12.6
Greece,2009,9.8
Spain,2009,17.9
France,2009,9.1
Croatia,2009,9.2
Italy,2009,7.9
Cyprus,2009,5.4
Latvia,2009,17.7
Lithuania,2009,13.8
Luxembourg,2009,5.1
Hungary,2009,9.7
Malta,2009,6.9
Netherlands,2009,5.4
Austria,2009,5.7
Poland,2009,8.5
Portugal,2009,11.2
Romania,2009,8.4
Slovenia,2009,5.9
Slovakia,2009,12.0
Finland,2009,8.3
Sweden,2009,8.5
Belgium,2010,8.4
Bulgaria,2010,11.3
Czechia,2010,7.3
Denmark,2010,7.7
Germany,2010,6.6
Estonia,2010,16.6
Ireland,2010,14.6
Greece,2010,12.9
Spain,2010,19.9
France,2010,9.3
Croatia,2010,11.7
Italy,2010,8.5
Cyprus,2010,6.3
Latvia,2010,19.7
Lithuania,2010,17.8
Luxembourg,2010,4.4
Hungary,2010,10.8
Malta,2010,6.9
Netherlands,2010,6.1
Austria,2010,5.2
Poland,2010,10.0
Portugal,2010,12.6
Romania,2010,9.0
Slovenia,2010,7.3
Slovakia,2010,14.3
Finland,2010,8.6
Sweden,2010,8.7
Belgium,2011,7.2
Bulgaria,2011,12.3
Czechia,2011,6.7
Denmark,2011,7.8
Germany,2011,5.5
Estonia,2011,12.3
Ireland,2011,15.4
Greece,2011,18.1
Spain,2011,21.4
France,2011,9.2
Croatia,2011,13.7
Italy,2011,8.5
Cyprus,2011,7.9
Latvia,2011,16.3
Lithuania,2011,15.4
Luxembourg,2011,4.9
Hungary,2011,10.7
Malta,2011,6.4
Netherlands,2011,6.0
Austria,2011,4.9
Poland,2011,10.0
Portugal,2011,13.5
Romania,2011,9.1
Slovenia,2011,8.2
Slovakia,2011,13.5
Finland,2011,8.0
Sweden,2011,7.9
Belgium,2012,7.6
Bulgaria,2012,13.3
Czechia,2012,7.0
Denmark,2012,7.8
Germany,2012,5.1
Estonia,2012,9.9
Ireland,2012,15.5
Greece,2012,24.8
Spain,2012,24.8
France,2012,9.8
Croatia,2012,16.1
Italy,2012,10.9
Cyprus,2012,11.9
Latvia,2012,15.1
Lithuania,2012,13.4
Luxembourg,2012,5.1
Hungary,2012,10.7
Malta,2012,6.2
Netherlands,2012,6.8
Austria,2012,5.2
Poland,2012,10.4
Portugal,2012,16.6
Romania,2012,8.7
Slovenia,2012,8.9
Slovakia,2012,13.9
Finland,2012,7.9
Sweden,2012,8.1
Belgium,2013,8.6
Bulgaria,2013,13.9
Czechia,2013,7.0
Denmark,2013,7.4
Germany,2013,5.0
Estonia,2013,8.6
Ireland,2013,13.8
Greece,2013,27.8
Spain,2013,26.1
France,2013,10.3
Croatia,2013,17.3
Italy,2013,12.4
Cyprus,2013,15.9
Latvia,2013,11.9
Lithuania,2013,11.8
Luxembourg,2013,5.9
Hungary,2013,9.8
Malta,2013,6.1
Netherlands,2013,8.2
Austria,2013,5.7
Poland,2013,10.6
Portugal,2013,17.2
Romania,2013,9.0
Slovenia,2013,10.1
Slovakia,2013,14.1
Finland,2013,8.3
Sweden,2013,8.1
Belgium,2014,8.7
Bulgaria,2014,12.4
Czechia,2014,6.1
Denmark,2014,6.9
Germany,2014,4.7
Estonia,2014,7.3
Ireland,2014,11.9
Greece,2014,26.6
Spain,2014,24.5
France,2014,10.3
Croatia,2014,17.3
Italy,2014,12.9
Cyprus,2014,16.1
Latvia,2014,10.9
Lithuania,2014,10.7
Luxembourg,2014,5.9
Hungary,2014,7.5
Malta,2014,5.7
Netherlands,2014,8.4
Austria,2014,6.0
Poland,2014,9.2
Portugal,2014,14.6
Romania,2014,8.6
Slovenia,2014,9.7
Slovakia,2014,13.1
Finland,2014,8.7
Sweden,2014,8.0
Belgium,2015,8.7
Bulgaria,2015,10.1
Czechia,2015,5.1
Denmark,2015,6.3
Germany,2015,4.4
Estonia,2015,6.4
Ireland,2015,9.9
Greece,2015,25.0
Spain,2015,22.1
France,2015,10.3
Croatia,2015,16.2
Italy,2015,12.0
Cyprus,2015,15.0
Latvia,2015,9.9
Lithuania,2015,9.1
Luxembourg,2015,6.7
Hungary,2015,6.6
Malta,2015,5.4
Netherlands,2015,7.9
Austria,2015,6.1
Poland,2015,7.7
Portugal,2015,13.0
Romania,2015,8.4
Slovenia,2015,9.0
Slovakia,2015,11.5
Finland,2015,9.4
Sweden,2015,7.5
Belgium,2016,7.9
Bulgaria,2016,8.6
Czechia,2016,4.0
Denmark,2016,6.0
Germany,2016,3.9
Estonia,2016,6.8
Ireland,2016,8.4
Greece,2016,23.9
Spain,2016,19.6
France,2016,10.1
Croatia,2016,13.0
Italy,2016,11.7
Cyprus,2016,13.0
Latvia,2016,9.7
Lithuania,2016,7.9
Luxembourg,2016,6.3
Hungary,2016,5.0
Malta,2016,4.7
Netherlands,2016,7.0
Austria,2016,6.5
Poland,2016,6.3
Portugal,2016,11.5
Romania,2016,7.2
Slovenia,2016,8.0
Slovakia,2016,9.6
Finland,2016,8.9
Sweden,2016,7.1
Belgium,2017,7.2
Bulgaria,2017,7.2
Czechia,2017,2.9
Denmark,2017,5.8
Germany,2017,3.6
Estonia,2017,5.8
Ireland,2017,6.7
Greece,2017,21.8
Spain,2017,17.2
France,2017,9.4
Croatia,2017,11.1
Italy,2017,11.3
Cyprus,2017,11.1
Latvia,2017,8.7
Lithuania,2017,7.1
Luxembourg,2017,5.5
Hungary,2017,4.0
Malta,2017,4.0
Netherlands,2017,5.9
Austria,2017,5.9
Poland,2017,5.0
Portugal,2017,9.2
Romania,2017,6.1
Slovenia,2017,6.6
Slovakia,2017,8.1
Finland,2017,8.7
Sweden,2017,6.8
Belgium,2018,6.0
