Country,Year,Value
Belgium,2014,33790.0
Bulgaria,2014,5590.0
Czechia,2014,15670.0
Denmark,2014,44870.0
Germany,2014,34540.0
Estonia,2014,13140.0
Ireland,2014,40710.0
Greece,2014,16700.0
Spain,2014,22400.0
France,2014,31580.0
Croatia,2014,10530.0
Italy,2014,25690.0
Cyprus,2014,20310.0
Latvia,2014,10150.0
Lithuania,2014,11290.0
Luxembourg,2014,82590.0
Hungary,2014,10840.0
Malta,2014,19020.0
Netherlands,2014,39030.0
Austria,2014,35830.0
Poland,2014,10620.0
Portugal,2014,16240.0
Romania,2014,7160.0
Slovenia,2014,17410.0
Slovakia,2014,13670.0
Finland,2014,34220.0
Sweden,2014,40820.0
Belgium,2015,34090.0
Bulgaria,2015,5850.0
Czechia,2015,16440.0
Denmark,2015,45500.0
Germany,2015,34810.0
Estonia,2015,13410.0
Ireland,2015,50270.0
Greece,2015,16780.0
Spain,2015,23340.0
France,2015,31780.0
Croatia,2015,10850.0
Italy,2015,25960.0
Cyprus,2015,21170.0
Latvia,2015,10630.0
Lithuania,2015,11710.0
Luxembourg,2015,82820.0
Hungary,2015,11280.0
Malta,2015,20360.0
Netherlands,2015,39680.0
Austria,2015,35930.0
Poland,2015,11090.0
Portugal,2015,16560.0
Romania,2015,7420.0
Slovenia,2015,17820.0
Slovakia,2015,14360.0
Finland,2015,34270.0
Sweden,2015,42170.0
Belgium,2016,34320.0
Bulgaria,2016,6110.0
Czechia,2016,16860.0
Denmark,2016,46520.0
Germany,2016,35320.0
Estonia,2016,13800.0
Ireland,2016,50280.0
Greece,2016,16840.0
Spain,2016,24000.0
France,2016,31930.0
Croatia,2016,11320.0
Italy,2016,26330.0
Cyprus,2016,22410.0
Latvia,2016,11000.0
Lithuania,2016,12160.0
Luxembourg,2016,84750.0
Hungary,2016,11600.0
Malta,2016,20710.0
Netherlands,2016,40430.0
Austria,2016,36230.0
Poland,2016,11440.0
Portugal,2016,16930.0
Romania,2016,7680.0
Slovenia,2016,18350.0
Slovakia,2016,14620.0
Finland,2016,35060.0
Sweden,2016,42660.0
Belgium,2017,34700.0
Bulgaria,2017,6360.0
Czechia,2017,17720.0
Denmark,2017,47640.0
Germany,2017,36150.0
Estonia,2017,14580.0
Ireland,2017,54540.0
Greece,2017,17120.0
Spain,2017,24650.0
France,2017,32470.0
Croatia,2017,11810.0
Italy,2017,26800.0
Cyprus,2017,23480.0
Latvia,2017,11480.0
Lithuania,2017,12880.0
Luxembourg,2017,84020.0
Hungary,2017,12110.0
Malta,2017,22760.0
Netherlands,2017,41310.0
Austria,2017,36820.0
Poland,2017,12020.0
Portugal,2017,17520.0
Romania,2017,8360.0
Slovenia,2017,19280.0
Slovakia,2017,15020.0
Finland,2017,36130.0
Sweden,2017,42820.0
Belgium,2018,35190.0
Bulgaria,2018,6610.0
Czechia,2018,18200.0
Denmark,2018,48290.0
Germany,2018,36440.0
Estonia,2018,15070.0
Ireland,2018,57820.0
Greece,2018,17510.0
Spain,2018,25130.0
France,2018,32850.0
Croatia,2018,12270.0
Italy,2018,27080.0
Cyprus,2018,24650.0
Latvia,2018,12070.0
Lithuania,2018,13630.0
Luxembourg,2018,83390.0
Hungary,2018,12820.0
Malta,2018,23540.0
Netherlands,2018,42000.0
Austria,2018,37550.0
Poland,2018,12780.0
Portugal,2018,18040.0
Romania,2018,8920.0
Slovenia,2018,20070.0
Slovakia,2018,15610.0
Finland,2018,36510.0
Sweden,2018,43130.0
Belgium,2019,35850.0
Bulgaria,2019,6960.0
Czechia,2019,18820.0
