Country,Year,Value
Belgium,2014,0.5
Bulgaria,2014,-1.6
Czechia,2014,0.4
Denmark,2014,0.4
Germany,2014,0.8
Estonia,2014,0.5
Ireland,2014,0.3
Greece,2014,-1.4
Spain,2014,-0.2
France,2014,0.6
Croatia,2014,0.2
Italy,2014,0.2
Cyprus,2014,-0.3
Latvia,2014,0.7
Lithuania,2014,0.2
Luxembourg,2014,0.7
Hungary,2014,0.0
Malta,2014,0.8
Netherlands,2014,0.3
Austria,2014,1.5
Poland,2014,0.1
Portugal,2014,-0.2
Romania,2014,1.4
Slovenia,2014,0.4
Slovakia,2014,-0.1
Finland,2014,1.2
Sweden,2014,0.2
Belgium,2015,0.6
Bulgaria,2015,-1.1
Czechia,2015,0.3
Denmark,2015,0.2
Germany,2015,0.7
Estonia,2015,0.1
Ireland,2015,0.0
Greece,2015,-1.1
Spain,2015,-0.6
France,2015,0.1
Croatia,2015,-0.3
Italy,2015,0.1
Cyprus,2015,-1.5
Latvia,2015,0.2
Lithuania,2015,-0.7
Luxembourg,2015,0.1
Hungary,2015,0.1
Malta,2015,1.2
Netherlands,2015,0.2
Austria,2015,0.8
Poland,2015,-0.7
Portugal,2015,0.5
Romania,2015,-0.4
Slovenia,2015,-0.8
Slovakia,2015,-0.3
Finland,2015,-0.2
Sweden,2015,0.7
Belgium,2016,1.8
Bulgaria,2016,-1.3
Czechia,2016,0.6
Denmark,2016,0.0
Germany,2016,0.4
Estonia,2016,0.8
Ireland,2016,-0.2
Greece,2016,0.0
Spain,2016,-0.3
France,2016,0.3
Croatia,2016,-0.6
Italy,2016,-0.1
Cyprus,2016,-1.2
Latvia,2016,0.1
Lithuania,2016,0.7
Luxembourg,2016,0.0
Hungary,2016,0.4
Malta,2016,0.9
Netherlands,2016,0.1
Austria,2016,1.0
Poland,2016,-0.2
Portugal,2016,0.6
Romania,2016,-1.1
Slovenia,2016,-0.2
Slovakia,2016,-0.5
Finland,2016,0.4
Sweden,2016,1.1
Belgium,2017,2.2
Bulgaria,2017,1.2
Czechia,2017,2.4
Denmark,2017,1.1
Germany,2017,1.7
Estonia,2017,3.7
Ireland,2017,0.3
Greece,2017,1.1
Spain,2017,2.0
France,2017,1.2
Croatia,2017,1.3
Italy,2017,1.3
Cyprus,2017,0.7
Latvia,2017,2.9
Lithuania,2017,3.7
Luxembourg,2017,2.1
Hungary,2017,2.4
Malta,2017,1.3
Netherlands,2017,1.3
Austria,2017,2.2
Poland,2017,1.6
Portugal,2017,1.6
Romania,2017,1.1
Slovenia,2017,1.6
Slovakia,2017,1.4
Finland,2017,0.8
Sweden,2017,1.9
Belgium,2018,2.3
Bulgaria,2018,2.6
Czechia,2018,2.0
Denmark,2018,0.7
Germany,2018,1.9
Estonia,2018,3.4
Ireland,2018,0.7
Greece,2018,0.8
Spain,2018,1.7
France,2018,2.1
Croatia,2018,1.6
Italy,2018,1.2
Cyprus,2018,0.8
Latvia,2018,2.6
Lithuania,2018,2.5
Luxembourg,2018,2.0
Hungary,2018,2.9
Malta,2018,1.7
Netherlands,2018,1.6
Austria,2018,2.1
Poland,2018,1.2
Portugal,2018,1.2
Romania,2018,4.1
Slovenia,2018,1.9
Slovakia,2018,2.5
Finland,2018,1.2
Sweden,2018,2.0
Belgium,2019,1.2
Bulgaria,2019,2.5
Czechia,2019,2.6
Denmark,2019,0.7
Germany,2019,1.4
Estonia,2019,2.3
Ireland,2019,0.9
Greece,2019,0.5
Spain,2019,0.8
France,2019,1.3
Croatia,2019,0.8
Italy,2019,0.6
Cyprus,2019,0.5
Latvia,2019,2.7
Lithuania,2019,2.2
Luxembourg,2019,1.6
Hungary,2019,3.4
Malta,2019,1.5
Netherlands,2019,2.7
Austria,2019,1.5
Poland,2019,2.1
Portugal,2019,0.3
Romania,2019,3.9
Slovenia,2019,1.7
Slovakia,2019,2.8
Finland,2019,1.1
Sweden,2019,1.7
Belgium,2020,0.4
Bulgaria,2020,1.2
Czechia,2020,3.3
Denmark,2020,0.3
Germany,2020,0.4
Estonia,2020,-0.6
Ireland,2020,-0.5
Greece,2020,-1.3
Spain,2020,-0.3
France,2020,0.5
Croatia,2020,0.0
Italy,2020,-0.1
Cyprus,2020,-1.1
Latvia,2020,0.1
Lithuania,2020,1.1
Luxembourg,2020,0.0
Hungary,2020,3.4
Malta,2020,0.8
Netherlands,2020,1.1
Austria,2020,1.4
Poland,2020,3.7
Portugal,2020,-0.1
Romania,2020,2.3
Slovenia,2020,-0.3
Slovakia,2020,2.0
Finland,2020,0.4
Sweden,2020,0.7
Belgium,2021,3.2
Bulgaria,2021,2.8
Czechia,2021,3.3
Denmark,2021,1.9
Germany,2021,3.2
Estonia,2021,4.5
Ireland,2021,2.4
Greece,2021,0.6
Spain,2021,3.0
France,2021,2.1
Croatia,2021,2.7
Italy,2021,1.9
Cyprus,2021,2.3
Latvia,2021,3.2
Lithuania,2021,4.6
Luxembourg,2021,3.5
Hungary,2021,5.2
Malta,2021,0.7
Netherlands,2021,2.8
Austria,2021,2.8
Poland,2021,5.2
Portugal,2021,0.9
Romania,2021,4.1
Slovenia,2021,2.0
Slovakia,2021,2.8
Finland,2021,2.1
Sweden,2021,2.7
Belgium,2022,10.3
Bulgaria,2022,13.0
Czechia,2022,14.8
Denmark,2022,8.5
Germany,2022,8.7
Estonia,2022,19.4
Ireland,2022,8.1
Greece,2022,9.3
Spain,2022,8.3
France,2022,5.9
Croatia,2022,10.7
Italy,2022,8.7
Cyprus,2022,8.1
Latvia,2022,17.2
Lithuania,2022,18.9
Luxembourg,2022,8.2
Hungary,2022,15.3
Malta,2022,6.1
Netherlands,2022,11.6
Austria,2022,8.6
Poland,2022,13.2
Portugal,2022,8.1
Romania,2022,12.0
Slovenia,2022,9.3
Slovakia,2022,12.1
Finland,2022,7.2
Sweden,2022,8.1
Belgium,2023,2.3
Bulgaria,2023,8.6
Czechia,2023,12.0
Denmark,2023,3.4
Germany,2023,6.0
Estonia,2023,9.1
Ireland,2023,5.2
Greece,2023,4.2
Spain,2023,3.4
France,2023,5.7
Croatia,2023,8.4
