Country,Year,Value
Belgium,2014,8.7
Bulgaria,2014,12.4
Czechia,2014,6.1
Denmark,2014,6.9
Germany,2014,4.7
Estonia,2014,7.3
Ireland,2014,11.9
Greece,2014,26.6
Spain,2014,24.5
France,2014,10.3
Croatia,2014,17.3
Italy,2014,12.9
Cyprus,2014,16.1
Latvia,2014,10.9
Lithuania,2014,10.7
Luxembourg,2014,5.9
Hungary,2014,7.5
Malta,2014,5.7
Netherlands,2014,8.4
Austria,2014,6.0
Poland,2014,9.2
Portugal,2014,14.6
Romania,2014,8.6
Slovenia,2014,9.7
Slovakia,2014,13.1
Finland,2014,8.7
Sweden,2014,8.0
Belgium,2015,8.7
Bulgaria,2015,10.1
Czechia,2015,5.1
Denmark,2015,6.3
Germany,2015,4.4
Estonia,2015,6.4
Ireland,2015,9.9
Greece,2015,25.0
Spain,2015,22.1
France,2015,10.3
Croatia,2015,16.2
Italy,2015,12.0
Cyprus,2015,15.0
Latvia,2015,9.9
Lithuania,2015,9.1
Luxembourg,2015,6.7
Hungary,2015,6.6
Malta,2015,5.4
Netherlands,2015,7.9
Austria,2015,6.1
Poland,2015,7.7
Portugal,2015,13.0
Romania,2015,8.4
Slovenia,2015,9.0
Slovakia,2015,11.5
Finland,2015,9.4
Sweden,2015,7.5
Belgium,2016,7.9
Bulgaria,2016,8.6
Czechia,2016,4.0
Denmark,2016,6.0
Germany,2016,3.9
Estonia,2016,6.8
Ireland,2016,8.4
Greece,2016,23.9
Spain,2016,19.6
France,2016,10.1
Croatia,2016,13.0
Italy,2016,11.7
Cyprus,2016,13.0
Latvia,2016,9.7
Lithuania,2016,7.9
Luxembourg,2016,6.3
Hungary,2016,5.0
Malta,2016,4.7
Netherlands,2016,7.0
Austria,2016,6.5
Poland,2016,6.3
Portugal,2016,11.5
Romania,2016,7.2
Slovenia,2016,8.0
Slovakia,2016,9.6
Finland,2016,8.9
Sweden,2016,7.1
Belgium,2017,7.2
Bulgaria,2017,7.2
Czechia,2017,2.9
Denmark,2017,5.8
Germany,2017,3.6
Estonia,2017,5.8
Ireland,2017,6.7
Greece,2017,21.8
Spain,2017,17.2
France,2017,9.4
Croatia,2017,11.1
Italy,2017,11.3
Cyprus,2017,11.1
Latvia,2017,8.7
Lithuania,2017,7.1
Luxembourg,2017,5.5
Hungary,2017,4.0
Malta,2017,4.0
Netherlands,2017,5.9
Austria,2017,5.9
Poland,2017,5.0
Portugal,2017,9.2
Romania,2017,6.1
Slovenia,2017,6.6
Slovakia,2017,8.1
Finland,2017,8.7
Sweden,2017,6.8
Belgium,2018,6.0
Bulgaria,2018,6.2
Czechia,2018,2.2
Denmark,2018,5.1
Germany,2018,3.2
Estonia,2018,5.4
Ireland,2018,5.8
Greece,2018,19.7
Spain,2018,15.3
France,2018,9.0
Croatia,2018,8.3
Italy,2018,10.6
Cyprus,2018,8.4
Latvia,2018,7.4
Lithuania,2018,6.2
Luxembourg,2018,5.6
Hungary,2018,3.6
Malta,2018,4.0
Netherlands,2018,4.9
Austria,2018,5.2
Poland,2018,3.9
Portugal,2018,7.2
Romania,2018,5.3
Slovenia,2018,5.1
Slovakia,2018,6.5
Finland,2018,7.5
Sweden,2018,6.5
Belgium,2019,5.5
Bulgaria,2019,5.2
Czechia,2019,2.0
Denmark,2019,5.0
Germany,2019,3.0
Estonia,2019,4.5
Ireland,2019,5.0
Greece,2019,17.9
Spain,2019,14.1
France,2019,8.4
Croatia,2019,6.6
Italy,2019,9.9
Cyprus,2019,7.2
Latvia,2019,6.3
Lithuania,2019,6.3
Luxembourg,2019,5.6
Hungary,2019,3.3
Malta,2019,4.1
Netherlands,2019,4.4
Austria,2019,4.8
Poland,2019,3.3
Portugal,2019,6.6
Romania,2019,4.9
Slovenia,2019,4.4
Slovakia,2019,5.7
Finland,2019,6.8
Sweden,2019,6.9
Belgium,2020,5.8
Bulgaria,2020,6.1
Czechia,2020,2.6
Denmark,2020,5.6
Germany,2020,3.7
Estonia,2020,6.9
Ireland,2020,5.9
Greece,2020,17.6
Spain,2020,15.5
France,2020,8.0
Croatia,2020,7.4
Italy,2020,9.3
Cyprus,2020,7.6
Latvia,2020,8.1
Lithuania,2020,8.5
Luxembourg,2020,6.8
Hungary,2020,4.1
Malta,2020,4.9
Netherlands,2020,4.9
Austria,2020,6.0
Poland,2020,3.2
Portugal,2020,7.1
Romania,2020,6.1
Slovenia,2020,5.0
Slovakia,2020,6.7
Finland,2020,7.7
Sweden,2020,8.5
Belgium,2021,6.3
Bulgaria,2021,5.2
Czechia,2021,2.8
Denmark,2021,5.1
Germany,2021,3.7
Estonia,2021,6.2
Ireland,2021,6.2
Greece,2021,14.7
Spain,2021,14.9
France,2021,7.9
Croatia,2021,7.5
Italy,2021,9.5
Cyprus,2021,7.2
Latvia,2021,7.6
Lithuania,2021,7.1
Luxembourg,2021,5.3
Hungary,2021,4.0
Malta,2021,3.8
Netherlands,2021,4.2
Austria,2021,6.2
Poland,2021,3.4
Portugal,2021,6.7
Romania,2021,5.6
Slovenia,2021,4.8
Slovakia,2021,6.8
Finland,2021,7.7
Sweden,2021,8.9
Belgium,2022,5.6
Bulgaria,2022,4.2
Czechia,2022,2.2
Denmark,2022,4.5
Germany,2022,3.2
Estonia,2022,5.6
Ireland,2022,4.5
Greece,2022,12.5
Spain,2022,13.0
France,2022,7.3
Croatia,2022,6.8
Italy,2022,8.1
Cyprus,2022,6.3
Latvia,2022,6.9
Lithuania,2022,6.0
Luxembourg,2022,4.6
Hungary,2022,3.6
Malta,2022,3.5
Netherlands,2022,3.5
Austria,2022,4.8
Poland,2022,2.9
Portugal,2022,6.2
Romania,2022,5.6
Slovenia,2022,4.0
Slovakia,2022,6.1
Finland,2022,6.8
Sweden,2022,7.5
Belgium,2023,5.5
Bulgaria,2023,4.3
Czechia,2023,2.6
Denmark,2023,5.1
Germany,2023,3.1
Estonia,2023,6.4
Ireland,2023,4.3
Greece,2023,11.1
Spain,2023,12.2
France,2023,7.3
Croatia,2023,6.1
Italy,2023,7.7
Cyprus,2023,5.8
Latvia,2023,6.5
Lithuania,2023,6.9
Luxembourg,2023,5.2
Hungary,2023,4.1
Malta,2023,3.5
Netherlands,2023,3.6
Austria,2023,5.1
Poland,2023,2.8
Portugal,2023,6.5
Romania,2023,5.6
Slovenia,2023,3.7
Slovakia,2023,5.8
Finland,2023,7.2
Sweden,2023,7.7
